timestamp_hour,hour_of_day,day_of_week,is_weekend,is_holiday,ed_arrivals_lag_1h,ed_arrivals_lag_2h,ed_arrivals_lag_3h,ed_arrivals_lag_24h,ed_waiting_count,ed_arrivals_high_acuity_lag_1h,icu_occupied_beds,icu_staffed_beds,ward_occupied_beds,ward_staffed_beds,discharges_icu,discharges_ward,ambulance_prealerts_next_1h,weather_temp,rain_mm,local_event_flag,y_ed_arrivals_t+1,y_ed_arrivals_t+2,y_ed_arrivals_t+3,y_ed_to_ward_t+1,y_ed_to_ward_t+2,y_ed_to_ward_t+3,y_ed_to_icu_t+1,y_ed_to_icu_t+2,y_ed_to_icu_t+3,y_icu_occupied_t+1,y_icu_occupied_t+2,y_icu_occupied_t+3,y_icu_occupied_t+6,y_icu_occupied_t+12,y_icu_occupied_t+24,y_icu_occupied_t+48,y_ward_occupied_t+1,y_ward_occupied_t+2,y_ward_occupied_t+3,y_ward_occupied_t+6,y_ward_occupied_t+12,y_ward_occupied_t+24,y_ward_occupied_t+48
2025-10-02 00:00:00,0,3,0,1,42.0,44.0,36.0,42.0,65,9.0,30,32,118,120,2,7,5,25.6,1.4,0,46.0,40.0,44.0,5.0,3.0,11.0,4.0,3.0,6.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,118.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 01:00:00,1,3,0,1,40.0,42.0,44.0,42.0,76,8.0,32,32,120,120,2,1,1,25.1,1.3,0,40.0,44.0,33.0,3.0,11.0,6.0,3.0,6.0,3.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,118.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 02:00:00,2,3,0,1,46.0,40.0,42.0,39.0,79,9.0,32,32,118,120,1,5,9,25.1,2.4,0,44.0,33.0,41.0,11.0,6.0,7.0,6.0,3.0,3.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 03:00:00,3,3,0,1,40.0,46.0,40.0,50.0,91,8.0,32,32,120,120,3,1,6,26.1,0.0,0,33.0,41.0,46.0,6.0,7.0,9.0,3.0,3.0,5.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 04:00:00,4,3,0,1,44.0,40.0,46.0,40.0,90,13.0,32,32,120,120,2,4,2,26.3,11.2,0,41.0,46.0,62.0,7.0,9.0,9.0,3.0,5.0,7.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 05:00:00,5,3,0,1,33.0,44.0,40.0,41.0,96,3.0,32,32,120,120,1,2,8,24.5,0.0,0,46.0,62.0,45.0,9.0,9.0,5.0,5.0,7.0,7.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 06:00:00,6,3,0,1,41.0,33.0,44.0,44.0,110,16.0,32,32,120,120,1,3,2,24.3,0.0,0,62.0,45.0,48.0,9.0,5.0,11.0,7.0,7.0,3.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 07:00:00,7,3,0,1,46.0,41.0,33.0,37.0,137,12.0,32,32,120,120,1,1,5,24.6,0.0,0,45.0,48.0,47.0,5.0,11.0,12.0,7.0,3.0,8.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 08:00:00,8,3,0,1,62.0,46.0,41.0,35.0,146,16.0,32,32,120,120,1,1,1,23.4,0.0,0,48.0,47.0,34.0,11.0,12.0,5.0,3.0,8.0,3.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2025-10-02 09:00:00,9,3,0,1,45.0,62.0,46.0,40.0,158,5.0,32,32,120,120,0,4,9,23.1,0.0,0,47.0,34.0,73.0,12.0,5.0,20.0,8.0,3.0,14.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
